base64, 14.29%
basename, 79.49%
cat, 55.17%
chcon, 15.9%
chgrp, 67.78%
chown, 60.22%
chroot, 62.16%
cksum, 91.94%
comm, 70.41%
cp, 46.34%
csplit, 53.76%
cut, 64.19%
date, 48.05%
df, 59.84%
dircolors, 20.0%
dirname, 93.55%
echo, 27.18%
env, 51.11%
expand, 42.38%
expr, 48.22%
factor, 71.64%
fmt, 65.83%
fold, 43.36%
hostid, 63.64%
hostname, 57.14%
id, 32.03%
join, 12.93%
link, 75.0%
ln, 75.26%
logname, 56.0%
ls, 44.24%
mkdir, 77.27%
mkfifo, 74.47%
mknod, 53.66%
mktemp, 76.77%
nice, 76.27%
nl, 48.82%
nohup, 77.63%
od, 40.65%
paste, 66.84%
pathchk, 46.97%
pinky, 83.33%
pr, 38.08%
printenv, 77.14%
printf, 9.73%
pwd, 20.34%
readlink, 64.0%
runcon, 68.93%
seq, 53.04%
setuidgid, 38.96%
shuf, 47.67%
sleep, 45.65%
split, 19.82%
stat, 9.47%
stty, 13.77%
tee, 86.96%
touch, 57.64%
tr, 38.24%
tsort, 71.43%
tty, 76.67%
uname, 79.55%
unexpand, 47.42%
uniq, 60.54%
unlink, 72.0%
uptime, 91.03%
users, 98.08%
who, 49.28%
whoami, 53.85%
