base64, 71.43%
basename, 79.49%
cat, 54.74%
chcon, 16.41%
chgrp, 67.78%
chown, 60.22%
chroot, 62.16%
cksum, 91.94%
comm, 78.57%
cp, 46.34%
csplit, 53.76%
cut, 55.07%
date, 48.05%
df, 59.84%
dircolors, 73.16%
dirname, 93.55%
echo, 27.18%
env, 82.22%
expand, 43.05%
expr, 48.52%
factor, 64.18%
fmt, 67.4%
fold, 43.36%
hostid, 63.64%
hostname, 57.14%
id, 32.03%
join, 12.93%
link, 75.0%
ln, 75.26%
logname, 56.0%
ls, 44.24%
mkdir, 66.67%
mkfifo, 74.47%
mknod, 53.66%
mktemp, 76.77%
nice, 61.02%
nl, 48.82%
nohup, 77.63%
od, 40.65%
paste, 44.92%
pathchk, 46.97%
pinky, 83.76%
pr, 37.97%
printenv, 77.14%
printf, 9.73%
pwd, 20.34%
readlink, 64.0%
runcon, 68.93%
seq, 56.35%
setuidgid, 40.26%
shuf, 47.67%
sleep, 45.65%
split, 41.47%
stat, 35.65%
stty, 29.43%
tee, 86.96%
touch, 56.25%
tr, 22.15%
tsort, 72.41%
tty, 76.67%
uname, 79.55%
unexpand, 47.42%
uniq, 60.54%
unlink, 72.0%
uptime, 91.03%
users, 98.08%
who, 83.09%
whoami, 53.85%
