base64, 71.43%
basename, 79.49%
cat, 62.5%
chcon, 16.41%
chgrp, 67.78%
chown, 60.22%
chroot, 62.16%
cksum, 91.94%
comm, 78.57%
cp, 46.34%
csplit, 3.3%
cut, 55.07%
date, 48.05%
df, 59.84%
dircolors, 10.0%
dirname, 93.55%
echo, 28.16%
env, 82.22%
expand, 43.05%
expr, 35.8%
factor, 64.18%
fmt, 64.89%
fold, 40.71%
hostid, 63.64%
hostname, 57.14%
id, 28.13%
join, 12.93%
link, 75.0%
ln, 75.26%
logname, 56.0%
ls, 44.24%
mkdir, 66.67%
mkfifo, 74.47%
mknod, 53.66%
mktemp, 49.49%
nice, 61.02%
nl, 48.82%
nohup, 77.63%
od, 40.65%
paste, 45.99%
pathchk, 46.97%
pinky, 83.33%
pr, 37.97%
printenv, 77.14%
printf, 9.73%
pwd, 20.34%
readlink, 96.0%
runcon, 68.93%
seq, 56.35%
setuidgid, 40.26%
shuf, 47.67%
sleep, 45.65%
split, 41.47%
stat, 35.65%
stty, 31.32%
tee, 75.36%
touch, 59.03%
tr, 22.15%
tsort, 6.9%
tty, 76.67%
uname, 77.27%
unexpand, 47.42%
uniq, 60.54%
unlink, 72.0%
uptime, 89.74%
users, 98.08%
who, 83.45%
whoami, 53.85%
