base64, 14.29%
basename, 79.49%
cat, 66.38%
chcon, 15.9%
chgrp, 67.78%
chown, 60.22%
chroot, 62.16%
cksum, 91.94%
comm, 78.57%
cp, 46.34%
csplit, 53.39%
cut, 55.07%
date, 24.68%
df, 64.42%
dircolors, 20.0%
dirname, 93.55%
echo, 27.18%
env, 82.22%
expand, 43.05%
expr, 48.22%
factor, 64.18%
fmt, 65.83%
fold, 43.36%
hostid, 63.64%
hostname, 57.14%
id, 32.03%
join, 12.93%
link, 75.0%
ln, 75.26%
logname, 56.0%
ls, 44.24%
mkdir, 77.27%
mkfifo, 74.47%
mknod, 53.66%
mktemp, 76.77%
nice, 76.27%
nl, 48.82%
nohup, 77.63%
od, 40.65%
paste, 66.84%
pathchk, 46.97%
pinky, 83.33%
pr, 38.08%
printenv, 62.86%
printf, 10.51%
pwd, 20.34%
readlink, 64.0%
runcon, 54.37%
seq, 53.04%
setuidgid, 41.56%
shuf, 34.88%
sleep, 45.65%
split, 41.47%
stat, 9.47%
stty, 29.62%
tee, 86.96%
touch, 56.25%
tr, 38.24%
tsort, 6.9%
tty, 76.67%
uname, 79.55%
unexpand, 47.42%
uniq, 60.54%
unlink, 72.0%
uptime, 89.74%
users, 98.08%
who, 49.28%
whoami, 53.85%
