base64, 71.43%
basename, 79.49%
cat, 66.38%
chcon, 16.41%
chgrp, 67.78%
chown, 46.24%
chroot, 62.16%
cksum, 91.94%
comm, 78.57%
cp, 46.34%
csplit, 53.76%
cut, 55.07%
date, 48.05%
df, 64.15%
dircolors, 73.16%
dirname, 93.55%
echo, 27.18%
env, 100.0%
expand, 43.05%
expr, 48.22%
factor, 71.64%
fmt, 66.46%
fold, 43.36%
hostid, 63.64%
hostname, 57.14%
id, 32.03%
join, 12.93%
link, 75.0%
ln, 75.26%
logname, 56.0%
ls, 44.24%
mkdir, 77.27%
mkfifo, 74.47%
mknod, 56.1%
mktemp, 88.89%
nice, 61.02%
nl, 48.82%
nohup, 77.63%
od, 40.65%
paste, 66.84%
pathchk, 46.97%
pinky, 83.76%
pr, 38.08%
printenv, 77.14%
printf, 74.32%
pwd, 20.34%
readlink, 96.0%
runcon, 68.93%
seq, 53.04%
setuidgid, 55.84%
shuf, 59.88%
sleep, 45.65%
split, 45.62%
stat, 9.47%
stty, 29.62%
tee, 86.96%
touch, 56.25%
tr, 22.15%
tsort, 58.62%
tty, 76.67%
uname, 79.55%
unexpand, 47.42%
uniq, 64.32%
unlink, 72.0%
uptime, 89.74%
users, 98.08%
who, 83.09%
whoami, 53.85%
