base64,48.57%,14.29%
basename,79.49%,76.92%
cat,66.38%,54.74%
chcon,45.64%,15.90%
chgrp,65.56%,34.44%
chown,60.22%,30.11%
chroot,62.16%,62.16%
cksum,91.94%,91.94%
comm,70.41%,62.24%
cp,46.34%,26.29%
csplit,62.20%,3.30%
cut,50.68%,56.08%
date,44.16%,24.68%
df,67.92%,63.34%
dircolors,20.00%,10.00%
dirname,100.00%,74.19%
echo,28.16%,39.81%
env,82.22%,51.11%
expand,39.07%,38.41%
expr,48.52%,36.98%
factor,71.64%,64.18%
fmt,66.46%,26.02%
fold,41.59%,44.25%
hostid,63.64%,59.09%
hostname,57.14%,67.86%
id,27.34%,24.22%
join,52.83%,28.57%
link,64.29%,60.71%
ln,75.26%,29.38%
logname,56.00%,52.00%
ls,45.33%,24.12%
mkdir,71.21%,34.85%
mkfifo,74.47%,36.17%
mknod,56.10%,42.68%
mktemp,76.77%,44.44%
nice,76.27%,72.88%
nl,46.92%,42.18%
nohup,77.63%,77.63%
od,40.79%,29.25%
paste,67.91%,47.59%
pathchk,46.97%,56.06%
pinky,83.33%,79.91%
pr,37.86%,33.55%
printenv,62.86%,62.86%
printf,10.51%,12.45%
pwd,20.34%,20.34%
readlink,78.00%,54.00%
runcon,44.66%,59.22%
seq,58.01%,51.93%
setuidgid,67.53%,23.38%
shuf,76.74%,59.30%
sleep,45.65%,43.48%
split,45.62%,33.64%
stat,35.65%,31.75%
stty,31.32%,22.45%
tee,86.96%,75.36%
touch,68.75%,59.72%
tr,42.34%,43.10%
tsort,6.90%,56.65%
tty,76.67%,50.00%
uname,77.27%,19.32%
unexpand,44.85%,47.42%
uniq,63.24%,45.95%
unlink,60.00%,72.00%
uptime,17.95%,91.03%
users,59.62%,98.08%
who,82.73%,30.58%
whoami,53.85%,50.00%
