base64,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,78.10%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,53.33%,81.90%,53.33%
basename,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
cat,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,68.53%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,65.09%,68.53%,65.09%
chcon,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,49.23%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,15.90%,49.23%,15.90%
chgrp,45.56%,45.56%,45.56%,45.56%,45.56%,45.56%,45.56%,45.56%,40.00%,42.22%,42.22%,42.22%,42.22%,54.44%,42.22%,45.56%,42.22%,42.22%,42.22%,42.22%,42.22%,42.22%,45.56%,42.22%,42.22%,45.56%,42.22%,42.22%,42.22%,42.22%,54.44%,42.22%
chown,43.01%,43.01%,41.94%,41.94%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,47.31%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,43.01%,45.16%,41.94%
chroot,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%,62.16%
cksum,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%,91.94%
comm,66.33%,66.33%,66.33%,66.33%,66.33%,66.33%,66.33%,64.29%,56.12%,66.33%,66.33%,56.12%,56.12%,94.90%,56.12%,66.33%,56.12%,66.33%,56.12%,56.12%,56.12%,56.12%,66.33%,56.12%,66.33%,66.33%,66.33%,66.33%,56.12%,56.12%,95.92%,66.33%
cp,32.79%,32.79%,32.79%,32.79%,32.79%,32.79%,32.79%,32.79%,31.98%,31.98%,31.98%,32.79%,32.79%,35.23%,31.98%,32.79%,32.79%,32.79%,32.79%,31.98%,32.79%,31.98%,32.79%,31.98%,31.98%,31.98%,32.79%,32.79%,31.98%,31.98%,34.69%,31.98%
csplit,58.72%,58.72%,58.72%,58.72%,58.72%,58.72%,58.72%,58.72%,58.72%,14.31%,58.72%,8.07%,51.56%,68.62%,58.72%,58.72%,58.72%,58.72%,58.72%,58.72%,58.72%,58.72%,56.33%,58.72%,58.72%,56.33%,58.72%,58.72%,58.72%,58.72%,66.61%,58.72%
cut,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,64.53%,65.54%,65.54%,65.54%,65.54%,59.12%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,65.54%,59.12%,65.54%
date,40.26%,40.26%,40.26%,40.26%,40.26%,40.26%,40.26%,40.26%,40.91%,40.26%,40.26%,40.26%,40.26%,55.19%,40.26%,40.26%,40.26%,40.26%,40.26%,37.01%,37.01%,37.01%,40.26%,37.01%,40.26%,40.26%,40.26%,40.26%,40.26%,40.26%,57.14%,40.26%
df,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,51.75%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.76%,58.49%,58.76%,58.76%,58.49%,58.76%,58.76%,58.76%,58.76%,51.75%,58.76%
dircolors,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,77.37%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,73.68%,81.58%,73.68%
dirname,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
echo,38.83%,38.83%,29.13%,29.13%,38.83%,38.83%,38.83%,38.83%,35.92%,38.83%,38.83%,38.83%,38.83%,90.29%,29.13%,29.13%,38.83%,29.13%,38.83%,38.83%,38.83%,29.13%,38.83%,38.83%,38.83%,29.13%,38.83%,38.83%,38.83%,38.83%,90.29%,38.83%
env,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
expand,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,60.93%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,68.21%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,62.25%,50.99%,62.25%
expr,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,51.48%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.47%,30.18%,30.47%,30.47%,30.18%,30.47%,30.47%,30.47%,30.47%,51.48%,30.47%
factor,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,85.07%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,68.66%,32.84%,68.66%,68.66%,68.66%,85.07%,68.66%
fmt,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,64.58%,28.84%,59.56%,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,28.84%,63.95%,28.84%,28.84%,63.95%,28.84%,28.84%,28.84%,28.84%,62.38%,28.84%
fold,57.52%,59.29%,57.52%,57.52%,57.52%,57.52%,57.52%,59.29%,57.52%,57.52%,59.29%,57.52%,59.29%,58.41%,67.26%,59.29%,59.29%,59.29%,57.52%,57.52%,57.52%,57.52%,57.52%,57.52%,57.52%,57.52%,59.29%,57.52%,57.52%,57.52%,58.41%,59.29%
hostid,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,100.00%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,81.82%,100.00%,81.82%
hostname,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%,96.43%
id,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,32.81%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,38.28%,37.50%,38.28%,38.28%,29.69%,38.28%
