base64, 14.29%
basename, 76.92%
cat, 66.81%
chcon, 15.9%
chgrp, 34.44%
chown, 30.11%
chroot, 62.16%
cksum, 91.94%
comm, 71.43%
cp, 26.29%
csplit, 3.3%
cut, 55.07%
date, 24.68%
df, 63.07%
dircolors, 10.0%
dirname, 74.19%
echo, 37.86%
env, 51.11%
expand, 43.05%
expr, 35.8%
factor, 64.18%
fmt, 64.89%
fold, 45.13%
hostid, 59.09%
hostname, 67.86%
id, 26.56%
join, 24.49%
link, 60.71%
ln, 29.38%
logname, 52.0%
ls, 21.75%
mkdir, 28.79%
mkfifo, 36.17%
mknod, 39.02%
mktemp, 44.44%
nice, 59.32%
nl, 28.91%
nohup, 77.63%
od, 29.4%
paste, 44.92%
pathchk, 56.06%
pinky, 79.91%
pr, 37.97%
printenv, 62.86%
printf, 9.73%
pwd, 20.34%
readlink, 54.0%
runcon, 58.25%
seq, 48.62%
setuidgid, 40.26%
shuf, 59.3%
sleep, 43.48%
split, 22.58%
stat, 31.75%
stty, 13.77%
tee, 75.36%
touch, 67.36%
tr, 38.24%
tsort, 71.43%
tty, 50.0%
uname, 19.32%
unexpand, 47.42%
uniq, 60.54%
unlink, 72.0%
uptime, 89.74%
users, 90.38%
who, 24.1%
whoami, 50.0%
