base64, 71.43%
basename, 79.49%
cat, 66.38%
chcon, 70.77%
chgrp, 65.56%
chown, 65.59%
chroot, 62.16%
cksum, 91.94%
comm, 78.57%
cp, 41.46%
csplit, 53.76%
cut, 64.19%
date, 48.05%
df, 64.15%
dircolors, 73.16%
dirname, 93.55%
echo, 27.18%
env, 100.0%
expand, 42.38%
expr, 48.22%
factor, 71.64%
fmt, 65.83%
fold, 43.36%
hostid, 63.64%
hostname, 67.86%
id, 32.03%
join, 12.93%
link, 75.0%
ln, 78.35%
logname, 56.0%
ls, 40.92%
mkdir, 77.27%
mkfifo, 82.98%
mknod, 56.1%
mktemp, 88.89%
nice, 61.02%
nl, 48.82%
nohup, 77.63%
od, 40.65%
paste, 66.84%
pathchk, 46.97%
pinky, 81.62%
pr, 38.08%
printenv, 77.14%
printf, 73.15%
pwd, 20.34%
readlink, 96.0%
runcon, 54.37%
seq, 53.04%
setuidgid, 55.84%
shuf, 59.88%
sleep, 45.65%
split, 45.62%
stat, 37.05%
stty, 29.43%
tee, 86.96%
touch, 56.25%
tr, 22.15%
tsort, 72.91%
tty, 76.67%
uname, 79.55%
unexpand, 47.42%
uniq, 36.76%
unlink, 68.0%
uptime, 91.03%
users, 90.38%
who, 83.09%
whoami, 53.85%
