base64, 48.57%
basename, 79.49%
cat, 55.17%
chcon, 45.64%
chgrp, 67.78%
chown, 60.22%
chroot, 62.16%
cksum, 80.65%
comm, 71.43%
cp, 46.34%
csplit, 62.57%
cut, 48.99%
date, 44.16%
df, 64.42%
dircolors, 20.0%
dirname, 74.19%
echo, 28.16%
env, 82.22%
expand, 39.07%
expr, 48.22%
factor, 71.64%
fmt, 65.83%
fold, 40.71%
hostid, 63.64%
hostname, 57.14%
id, 28.13%
join, 41.5%
link, 64.29%
ln, 75.26%
logname, 56.0%
ls, 44.24%
mkdir, 66.67%
mkfifo, 74.47%
mknod, 53.66%
mktemp, 76.77%
nice, 76.27%
nl, 46.92%
nohup, 77.63%
od, 40.79%
paste, 68.98%
pathchk, 46.97%
pinky, 83.33%
pr, 38.08%
printenv, 62.86%
printf, 10.51%
pwd, 20.34%
readlink, 64.0%
runcon, 68.93%
seq, 56.35%
setuidgid, 41.56%
shuf, 36.63%
sleep, 45.65%
split, 45.62%
stat, 36.77%
stty, 31.32%
tee, 75.36%
touch, 57.64%
tr, 41.73%
tsort, 6.9%
tty, 76.67%
uname, 77.27%
unexpand, 44.85%
uniq, 63.24%
unlink, 60.0%
uptime, 17.95%
users, 26.92%
who, 59.71%
whoami, 53.85%
