basename,44,100,0.44
chcon,7,100,0.07
cksum,14,100,0.14
comm,21,100,0.21
cut,25,100,0.25
touch,58,100,0.58
setuidgid,13,100,0.13
sleep,30,100,0.3
dircolors,45,100,0.45
dirname,63,85,0.741176470588
echo,24,100,0.24
env,40,82,0.487804878049
expand,13,100,0.13
expr,8,100,0.08
fold,9,100,0.09
hostid,16,46,0.347826086957
tsort,7,100,0.07
tty,13,54,0.240740740741
split,11,100,0.11
link,39,100,0.39
ln,11,100,0.11
logname,13,40,0.325
mkfifo,78,78,1.0
mknod,26,100,0.26
nice,100,100,1.0
unexpand,12,100,0.12
tee,29,100,0.29
users,90,90,1.0
nl,7,100,0.07
nohup,39,100,0.39
od,3,100,0.03
paste,23,100,0.23
pathchk,24,100,0.24
printf,1,100,0.01
pwd,7,100,0.07
readlink,40,84,0.47619047619
runcon,25,100,0.25
unlink,71,72,0.986111111111
whoami,12,33,0.363636363636
tr,14,100,0.14
base64,4,100,0.04
