base64,48.57%,14.29%
basename,79.49%,76.92%
cat,66.38%,54.74%
chcon,45.64%,15.90%
chgrp,68.89%,34.44%
chown,60.22%,30.11%
chroot,62.16%,62.16%
cksum,91.94%,91.94%
comm,78.57%,62.24%
cp,46.61%,26.29%
csplit,62.57%,3.30%
cut,52.36%,56.08%
date,46.10%,24.68%
df,67.92%,63.61%
dircolors,20.00%,10.00%
dirname,100.00%,100.00%
echo,28.16%,39.81%
env,100.00%,51.11%
expand,39.07%,42.38%
expr,48.52%,36.98%
factor,71.64%,64.18%
fmt,66.77%,62.70%
fold,41.59%,44.25%
hostid,63.64%,59.09%
hostname,67.86%,67.86%
id,27.34%,24.22%
join,57.14%,28.57%
link,64.29%,60.71%
ln,76.29%,29.38%
logname,56.00%,52.00%
ls,45.12%,24.12%
mkdir,71.21%,28.79%
mkfifo,74.47%,36.17%
mknod,56.10%,41.46%
mktemp,76.77%,44.44%
nice,76.27%,76.27%
nl,51.66%,42.18%
nohup,77.63%,77.63%
od,40.79%,29.25%
paste,67.91%,47.59%
pathchk,43.94%,56.06%
pinky,33.76%,46.58%
pr,37.86%,36.64%
printenv,62.86%,62.86%
printf,10.51%,12.45%
pwd,20.34%,20.34%
readlink,78.00%,58.00%
runcon,72.82%,72.82%
seq,58.01%,52.49%
setuidgid,71.43%,23.38%
shuf,76.74%,59.30%
sleep,45.65%,43.48%
split,45.62%,22.58%
stat,35.65%,31.75%
stty,31.32%,13.77%
tee,86.96%,75.36%
touch,69.44%,59.72%
tr,42.34%,40.52%
tsort,71.92%,71.43%
tty,76.67%,50.00%
uname,77.27%,19.32%
unexpand,44.85%,47.42%
uniq,63.24%,43.78%
unlink,72.00%,72.00%
uptime,83.33%,91.03%
users,69.23%,98.08%
who,78.78%,33.09%
whoami,53.85%,50.00%
